timestamp,trigger_type,command,action_completed,response_time_ms,user_confirmed_before_action,confirmation_requested,action_executed
2026-06-01T09:38:25.233Z,freeform,freeform_text,responded,NaN,n/a,FALSE,FALSE
2026-06-01T09:51:49.808Z,freeform,freeform_text,responded,NaN,n/a,FALSE,FALSE
2026-06-01T09:52:26.500Z,freeform,freeform_text,responded,NaN,n/a,FALSE,FALSE
2026-06-01T09:58:59.784Z,freeform,freeform_text,responded,NaN,n/a,FALSE,FALSE
2026-06-01T10:00:34.813Z,freeform,freeform_text,responded,NaN,n/a,FALSE,FALSE
2026-06-01T10:02:12.612Z,freeform,freeform_text,responded,NaN,n/a,FALSE,FALSE
2026-06-01T10:03:22.122Z,freeform,freeform_text,responded,NaN,n/a,FALSE,FALSE
2026-06-01T10:04:37.086Z,freeform,freeform_text,responded,NaN,n/a,FALSE,FALSE
2026-06-01T10:05:02.954Z,freeform,freeform_text,responded,NaN,n/a,FALSE,FALSE
2026-06-01T10:05:35.652Z,freeform,freeform_text,responded,NaN,n/a,FALSE,FALSE
2026-06-01T10:13:43.904Z,freeform,freeform_text,responded,NaN,n/a,FALSE,FALSE
2026-06-01T10:15:10.308Z,freeform,freeform_text,responded,NaN,n/a,FALSE,FALSE
2026-06-01T10:15:22.974Z,freeform,freeform_text,responded,NaN,n/a,FALSE,FALSE
2026-06-01T10:15:51.918Z,command,/help,TRUE,NaN,n/a,FALSE,FALSE
2026-06-01T10:16:22.120Z,command,/email,responded,NaN,n/a,FALSE,FALSE
2026-06-01T10:16:55.036Z,freeform,freeform_text,responded,NaN,n/a,FALSE,FALSE
2026-06-01T10:17:40.857Z,command,/schedule,responded,NaN,n/a,FALSE,FALSE
2026-06-01T10:17:48.479Z,command,/remind,responded,NaN,n/a,FALSE,FALSE
2026-06-01T10:19:21.465Z,command,/today,TRUE,NaN,n/a,FALSE,TRUE
