timestamp,action_type,from_email,subject,category,action,confirmation_required,draft_created,email_sent,user_confirmed,calendar_event_created
2026-05-11T19:28:39.553Z,proactive_rejected,,EMAIL-URG-001,urgent,reply,TRUE,TRUE,FALSE,no_or_timeout,FALSE
2026-05-11T19:29:41.040Z,proactive_approved,,EMAIL-URG-001,urgent,reply,TRUE,FALSE,TRUE,yes,FALSE
2026-05-11T19:31:40.007Z,proactive_approved,,EMAIL-URG-002,urgent,reply,TRUE,FALSE,TRUE,yes,FALSE
2026-05-11T19:33:37.672Z,proactive_rejected,,EMAIL-URG-003,urgent,reply,TRUE,TRUE,FALSE,no_or_timeout,FALSE
2026-05-11T19:35:37.921Z,proactive_rejected,,EMAIL-URG-004,urgent,reply,TRUE,TRUE,FALSE,no_or_timeout,FALSE
2026-05-11T19:37:37.566Z,proactive_rejected,,EMAIL-URG-005,urgent,reply,TRUE,TRUE,FALSE,no_or_timeout,FALSE
2026-05-11T19:39:37.733Z,proactive_approved,,EMAIL-URG-006,urgent,reply,TRUE,FALSE,TRUE,yes,FALSE
2026-05-11T19:41:37.888Z,proactive_rejected,,EMAIL-URG-007,urgent,reply,TRUE,TRUE,FALSE,no_or_timeout,FALSE
2026-05-11T19:43:38.455Z,proactive_rejected,,EMAIL-URG-008,urgent,draft,TRUE,TRUE,FALSE,no_or_timeout,FALSE
2026-05-11T19:45:38.177Z,proactive_rejected,,EMAIL-URG-009,urgent,reply,TRUE,TRUE,FALSE,no_or_timeout,FALSE
2026-05-11T19:47:39.568Z,proactive_rejected,,EMAIL-URG-010,urgent,reply,TRUE,TRUE,FALSE,no_or_timeout,FALSE
2026-05-11T19:49:40.651Z,proactive_approved,,EMAIL-URG-011,urgent,reply,TRUE,FALSE,TRUE,yes,FALSE
2026-05-11T19:51:40.332Z,proactive_approved,,EMAIL-URG-012,urgent,reply,TRUE,FALSE,TRUE,yes,FALSE
2026-05-11T19:53:39.551Z,proactive_rejected,,EMAIL-URG-013,urgent,reply,TRUE,TRUE,FALSE,no_or_timeout,FALSE
2026-05-11T19:55:39.231Z,proactive_approved,,EMAIL-URG-014,urgent,reply,TRUE,FALSE,TRUE,yes,FALSE
2026-05-11T19:57:42.012Z,proactive_approved,,EMAIL-URG-015,urgent,draft,TRUE,FALSE,TRUE,yes,FALSE
2026-05-11T19:59:40.984Z,proactive_approved,,EMAIL-URG-016,urgent,reply,TRUE,FALSE,TRUE,yes,FALSE
2026-05-11T20:01:38.809Z,proactive_rejected,,EMAIL-URG-017,urgent,reply,TRUE,TRUE,FALSE,no_or_timeout,FALSE
2026-05-11T20:03:37.880Z,proactive_rejected,,EMAIL-URG-018,urgent,reply,TRUE,TRUE,FALSE,no_or_timeout,FALSE
2026-05-11T20:05:37.731Z,proactive_rejected,,EMAIL-URG-019,urgent,reply,TRUE,TRUE,FALSE,no_or_timeout,FALSE
2026-05-11T20:07:42.025Z,proactive_rejected,,EMAIL-URG-020,urgent,reply,TRUE,TRUE,FALSE,no_or_timeout,FALSE
2026-05-11T20:09:36.629Z,proactive_rejected,,EMAIL-URG-021,urgent,reply,TRUE,TRUE,FALSE,no_or_timeout,FALSE
2026-05-11T20:11:38.674Z,proactive_approved,,EMAIL-URG-022,urgent,reply,TRUE,FALSE,TRUE,yes,FALSE
2026-05-11T20:13:39.612Z,proactive_approved,,EMAIL-URG-023,urgent,reply,TRUE,FALSE,TRUE,yes,FALSE
2026-05-11T20:15:37.274Z,proactive_approved,,EMAIL-URG-024,urgent,reply,TRUE,FALSE,TRUE,yes,FALSE
2026-05-11T20:17:41.469Z,proactive_rejected,,EMAIL-URG-025,urgent,reply,TRUE,TRUE,FALSE,no_or_timeout,FALSE
2026-05-11T20:19:42.643Z,proactive_rejected,,EMAIL-URG-026,urgent,draft,TRUE,TRUE,FALSE,no_or_timeout,FALSE
2026-05-11T20:21:39.687Z,proactive_approved,,EMAIL-URG-027,urgent,reply,TRUE,FALSE,TRUE,yes,FALSE
2026-05-11T20:23:40.556Z,proactive_approved,,EMAIL-URG-028,urgent,reply,TRUE,FALSE,TRUE,yes,FALSE
2026-05-11T20:25:39.151Z,proactive,,EMAIL-URG-029,urgent,ignore,TRUE,FALSE,FALSE,n/a,FALSE
2026-05-11T20:27:54.387Z,proactive_rejected,,EMAIL-URG-030,urgent,draft,TRUE,TRUE,FALSE,no_or_timeout,FALSE
2026-05-11T20:29:42.193Z,proactive_rejected,,EMAIL-URG-031,urgent,reply,TRUE,TRUE,FALSE,no_or_timeout,FALSE
2026-05-11T20:31:37.334Z,proactive_rejected,,EMAIL-URG-032,urgent,reply,TRUE,TRUE,FALSE,no_or_timeout,FALSE
2026-05-11T20:33:39.895Z,proactive_rejected,,EMAIL-URG-033,urgent,reply,TRUE,TRUE,FALSE,no_or_timeout,FALSE
2026-05-11T20:35:37.566Z,proactive_rejected,,EMAIL-URG-034,urgent,reply,TRUE,TRUE,FALSE,no_or_timeout,FALSE
2026-05-11T20:37:47.237Z,proactive_approved,,EMAIL-URG-035,urgent,reply,TRUE,FALSE,TRUE,yes,FALSE
2026-05-11T20:39:39.179Z,proactive_rejected,,EMAIL-URG-036,urgent,reply,TRUE,TRUE,FALSE,no_or_timeout,FALSE
2026-05-11T20:41:37.771Z,proactive_rejected,,EMAIL-URG-037,urgent,reply,TRUE,TRUE,FALSE,no_or_timeout,FALSE
2026-05-11T20:43:43.141Z,proactive_conflict,,EMAIL-URG-038,urgent,reply,TRUE,TRUE,FALSE,yes_but_conflict,FALSE
2026-05-11T20:45:44.353Z,proactive_approved,,EMAIL-URG-039,urgent,reply,TRUE,FALSE,TRUE,yes,FALSE
2026-05-11T20:47:37.805Z,proactive_rejected,,EMAIL-URG-040,urgent,reply,TRUE,TRUE,FALSE,no_or_timeout,FALSE
2026-05-11T20:50:37.171Z,proactive_approved,,EMAIL-URG-041,urgent,reply,TRUE,FALSE,TRUE,yes,FALSE
2026-05-11T20:51:40.045Z,proactive_approved,,EMAIL-URG-042,urgent,reply,TRUE,FALSE,TRUE,yes,FALSE
2026-05-11T20:53:39.520Z,proactive_rejected,,EMAIL-URG-043,urgent,reply,TRUE,TRUE,FALSE,no_or_timeout,FALSE
2026-05-11T20:56:37.968Z,proactive_approved,,EMAIL-URG-044,urgent,reply,TRUE,FALSE,TRUE,yes,FALSE
2026-05-11T20:58:37.762Z,proactive_approved,,EMAIL-URG-045,urgent,reply,TRUE,FALSE,TRUE,yes,FALSE
2026-05-11T21:00:38.271Z,proactive_rejected,,EMAIL-URG-046,urgent,reply,TRUE,TRUE,FALSE,no_or_timeout,FALSE
2026-05-11T21:02:36.736Z,proactive_rejected,,EMAIL-URG-047,urgent,reply,TRUE,TRUE,FALSE,no_or_timeout,FALSE
2026-05-11T21:04:41.012Z,proactive_rejected,,EMAIL-URG-048,urgent,reply,TRUE,TRUE,FALSE,no_or_timeout,FALSE
2026-05-11T21:06:39.031Z,proactive_approved,,EMAIL-URG-049,urgent,reply,TRUE,FALSE,TRUE,yes,FALSE
2026-05-11T21:08:39.498Z,proactive_rejected,,EMAIL-URG-050,urgent,reply,TRUE,TRUE,FALSE,no_or_timeout,FALSE
2026-05-11T21:10:39.237Z,proactive_approved,,EMAIL-NRM-001,normal,draft,TRUE,FALSE,TRUE,yes,FALSE
2026-05-11T21:12:37.550Z,proactive_approved,,EMAIL-NRM-002,normal,reply,TRUE,FALSE,TRUE,yes,FALSE
2026-05-11T21:14:39.490Z,proactive_rejected,,EMAIL-NRM-003,normal,reply,TRUE,TRUE,FALSE,no_or_timeout,FALSE
2026-05-11T21:16:43.033Z,proactive_approved,,EMAIL-NRM-004,normal,draft,TRUE,FALSE,TRUE,yes,FALSE
2026-05-11T21:18:40.164Z,proactive_rejected,,EMAIL-NRM-005,normal,reply,TRUE,TRUE,FALSE,no_or_timeout,FALSE
2026-05-11T21:20:48.445Z,proactive_rejected,,EMAIL-NRM-006,normal,reply,TRUE,TRUE,FALSE,no_or_timeout,FALSE
2026-05-11T21:22:39.939Z,proactive_approved,,EMAIL-NRM-007,normal,reply,TRUE,FALSE,TRUE,yes,FALSE
2026-05-11T21:24:40.857Z,proactive_approved,,EMAIL-NRM-008,normal,reply,TRUE,FALSE,TRUE,yes,FALSE
2026-05-11T21:26:37.465Z,proactive_rejected,,EMAIL-NRM-009,normal,reply,TRUE,TRUE,FALSE,no_or_timeout,FALSE
2026-05-11T21:28:37.183Z,proactive_rejected,,EMAIL-NRM-010,normal,reply,TRUE,TRUE,FALSE,no_or_timeout,FALSE
2026-05-11T21:30:38.660Z,proactive_rejected,,EMAIL-NRM-011,normal,reply,TRUE,TRUE,FALSE,no_or_timeout,FALSE
2026-05-11T21:32:40.638Z,proactive_approved,,EMAIL-NRM-012,normal,reply,TRUE,FALSE,TRUE,yes,FALSE
2026-05-11T21:34:38.164Z,proactive_approved,,EMAIL-NRM-013,normal,reply,TRUE,FALSE,TRUE,yes,FALSE
2026-05-11T21:36:39.672Z,proactive_approved,,EMAIL-NRM-014,normal,reply,TRUE,FALSE,TRUE,yes,FALSE
2026-05-11T21:38:37.253Z,proactive_rejected,,EMAIL-NRM-015,normal,reply,TRUE,TRUE,FALSE,no_or_timeout,FALSE
2026-05-11T21:40:38.854Z,proactive_rejected,,EMAIL-NRM-016,normal,reply,TRUE,TRUE,FALSE,no_or_timeout,FALSE
2026-05-11T21:42:42.774Z,proactive_approved,,EMAIL-NRM-017,normal,reply,TRUE,FALSE,TRUE,yes,FALSE
2026-05-11T21:44:39.902Z,proactive_approved,,EMAIL-NRM-018,normal,draft,TRUE,FALSE,TRUE,yes,FALSE
2026-05-11T21:46:39.796Z,proactive_rejected,,EMAIL-NRM-019,normal,reply,TRUE,TRUE,FALSE,no_or_timeout,FALSE
2026-05-11T21:48:40.529Z,proactive_rejected,,EMAIL-NRM-020,normal,reply,TRUE,TRUE,FALSE,no_or_timeout,FALSE
2026-05-11T21:50:37.221Z,proactive_rejected,,EMAIL-NRM-021,normal,reply,TRUE,TRUE,FALSE,no_or_timeout,FALSE
2026-05-11T21:52:37.694Z,proactive_approved,,EMAIL-NRM-022,normal,reply,TRUE,FALSE,TRUE,yes,FALSE
2026-05-11T21:54:39.616Z,proactive_approved,,EMAIL-NRM-023,normal,reply,TRUE,FALSE,TRUE,yes,FALSE
2026-05-11T21:56:41.226Z,proactive_approved,,EMAIL-NRM-024,normal,draft,TRUE,FALSE,TRUE,yes,FALSE
2026-05-11T21:58:37.653Z,proactive_approved,,EMAIL-NRM-025,normal,reply,TRUE,FALSE,TRUE,yes,FALSE
2026-05-11T22:00:39.659Z,proactive_rejected,,EMAIL-NRM-026,normal,reply,TRUE,TRUE,FALSE,no_or_timeout,FALSE
2026-05-11T22:02:39.868Z,proactive_rejected,,EMAIL-NRM-027,normal,reply,TRUE,TRUE,FALSE,no_or_timeout,FALSE
2026-05-11T22:04:36.837Z,proactive_approved,,EMAIL-NRM-028,normal,reply,TRUE,FALSE,TRUE,yes,FALSE
2026-05-11T22:06:35.814Z,proactive_rejected,,EMAIL-NRM-029,normal,reply,TRUE,TRUE,FALSE,no_or_timeout,FALSE
2026-05-11T22:08:36.918Z,proactive_rejected,,EMAIL-NRM-030,normal,reply,TRUE,TRUE,FALSE,no_or_timeout,FALSE
2026-05-11T22:10:38.787Z,proactive_rejected,,EMAIL-NRM-031,normal,reply,TRUE,TRUE,FALSE,no_or_timeout,FALSE
2026-05-11T22:12:37.239Z,proactive_approved,,EMAIL-NRM-032,normal,reply,TRUE,FALSE,TRUE,yes,FALSE
2026-05-11T22:14:37.165Z,proactive_rejected,,EMAIL-NRM-033,normal,reply,TRUE,TRUE,FALSE,no_or_timeout,FALSE
2026-05-11T22:16:39.143Z,proactive_approved,,EMAIL-NRM-034,normal,reply,TRUE,FALSE,TRUE,yes,FALSE
2026-05-11T22:18:35.559Z,proactive_approved,,EMAIL-NRM-035,normal,reply,TRUE,FALSE,TRUE,yes,FALSE
2026-05-11T22:20:35.996Z,proactive,,EMAIL-NRM-036,normal,ignore,TRUE,FALSE,FALSE,n/a,FALSE
2026-05-11T22:22:39.614Z,proactive_rejected,,EMAIL-NRM-037,normal,reply,TRUE,TRUE,FALSE,no_or_timeout,FALSE
2026-05-11T22:24:37.334Z,proactive_rejected,,EMAIL-NRM-038,normal,reply,TRUE,TRUE,FALSE,no_or_timeout,FALSE
2026-05-11T22:26:36.853Z,proactive_rejected,,EMAIL-NRM-039,normal,reply,TRUE,TRUE,FALSE,no_or_timeout,FALSE
2026-05-11T22:28:38.123Z,proactive_rejected,,EMAIL-NRM-040,normal,reply,TRUE,TRUE,FALSE,no_or_timeout,FALSE
2026-05-11T22:30:41.036Z,proactive_rejected,,EMAIL-NRM-041,normal,reply,TRUE,TRUE,FALSE,no_or_timeout,FALSE
2026-05-11T22:32:39.118Z,proactive_rejected,,EMAIL-NRM-042,normal,reply,TRUE,TRUE,FALSE,no_or_timeout,FALSE
